Car Name,Price,Year,KM Driven,Fuel Type,Transmission,Owner,Location
Renault Duster,₹3.33 lakh,2014,57.04k km,Petrol,Manual,,"Regency Anantam, Dombivli East"
Renault Kwid,₹2.96 lakh,2020,51.58k km,Petrol,Manual,,Thakur Village Kandivali E Mumbai
Renault Kwid,₹3.31 lakh,2021,35.19k km,Petrol,Manual,,"Korum Mall, Thane West"
Renault Kwid,₹2.16 lakh,2017,1.0L km,Petrol,Manual,,"Mulund West, Mumbai"
Renault Kwid,₹2.71 lakh,2018,28.06k km,Petrol,,,"Mulund West, Mumbai"
Renault TRIBER,₹4.25 lakh,2020,36.52k km,Petrol,Manual,,"Goregaon, Mumbai"
Renault Kiger,₹6.36 lakh,2024,4.35k km,Petrol,Manual,,"Korum Mall, Thane West"
Renault Kwid,₹2.41 lakh,2018,57.53k km,Petrol,,,"Regency Anantam, Dombivli East"
Renault Captur,₹4.95 lakh,2018,60.95k km,Petrol,Manual,,"Regency Anantam, Dombivli East"
Renault Kwid,₹2.78 lakh,2017,37.14k km,Petrol,,,"Goregaon, Mumbai"
Renault TRIBER,₹4.69 lakh,2020,35.82k km,Petrol,Manual,,Seawood
Renault Kwid,₹4.16 lakh,2022,3.53k km,Petrol,,,"Goregaon, Mumbai"
Renault TRIBER,₹5.65 lakh,2022,43.02k km,Petrol,Manual,,Seawood
Renault TRIBER,₹4.95 lakh,2021,61.67k km,Petrol,,,"Regency Anantam, Dombivli East"
Renault TRIBER,₹4.91 lakh,2020,28.64k km,Petrol,,,"Korum Mall, Thane West"
Renault Kiger,₹7.18 lakh,2023,2.40k km,Petrol,,,Thakur Village Kandivali E Mumbai
Renault Kwid,₹3.28 lakh,2018,34.90k km,Petrol,,,"Regency Anantam, Dombivli East"
Renault Duster,₹5.21 lakh,2018,33.15k km,Petrol,Manual,,Seawood
Renault Kiger,₹6.51 lakh,2021,33.35k km,Petrol,,,"Korum Mall, Thane West"
Renault Duster,₹7.47 lakh,2021,39.18k km,Petrol,,,"Mulund West, Mumbai"
Renault Duster,₹2.80 lakh,2014,72.15k km,Diesel,Manual,,Vasai (W Vasai-Virar Maharashtra
Renault TRIBER,₹3.71 lakh,2019,32.00k km,Petrol,Manual,,Shivaji Nagar Mumbai Maharashtra
Renault Kwid,₹2.09 lakh,2016,36.11k km,Petrol,Manual,,CBD Belapur Navi Mumbai
Renault Duster,₹1.70 lakh,2013,1.7L km,Diesel,Manual,,Dighe Navi Mumbai Maharashtra
Renault Kwid,₹1.80 lakh,2016,37.56k km,Petrol,Manual,,Andheri East Mumbai
