Name,Price,Fuel Type,Transmission,Kilometers Driven,Make Year,Owner,location,Year,Location
2023 Renault TRIBER RXE MT,465000.00000000006,Petrol,Manual,15996,Jun 2023,1,Nexus Whitefield,2023,Nexus Whitefield
2021 Renault Duster RXZ 1.5 PETROL MT,737000.0,Petrol,Manual,66343,Jul 2021,1,Gandhi Nagar,2021,Gandhi Nagar
2017 Renault Kwid RXT 1.0 AMT,339000.0,Petrol,Automatic,24632,Jan 2017,1,"Bellahalli, Bengaluru",2017,Bellahalli
2021 Renault Kwid RXT 1.0 AMT (O),417000.0,Petrol,Automatic,4880,Jan 2021,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2021,Whitefield Main Road
2017 Renault Kwid RXL,258000.0,Petrol,Manual,24948,May 2017,3,Gandhi Nagar,2017,Gandhi Nagar
2023 Renault Kwid RXT 1.0,401000.0,Petrol,Manual,12060,Jan 2023,2,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2023,Hosur Road
2016 Renault Kwid RXE,220000.00000000003,Petrol,Manual,83783,Jan 2016,2,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2016,Whitefield Main Road
2017 Renault Kwid RXT 1.0 AMT,310000.0,Petrol,Automatic,44277,Feb 2017,1,Gandhi Nagar,2017,Gandhi Nagar
2021 Renault TRIBER RXZ,521000.0,Petrol,Manual,27398,Feb 2021,2,Gandhi Nagar,2021,Gandhi Nagar
2021 Renault Kwid RXT 1.0 (O),368000.0,Petrol,Manual,26121,May 2021,1,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2021,Hosur Road
2022 Renault Kiger RXT (O) MT,623000.0,Petrol,Manual,26579,Feb 2022,1,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2022,Hosur Road
2020 Renault Kwid RXL 1.0 AMT,388000.0,Petrol,Automatic,5202,Aug 2020,1,Nexus Whitefield,2020,Nexus Whitefield
2018 Renault Kwid CLIMBER 1.0,310000.0,Petrol,Manual,28046,Jul 2018,2,"GT World Mall, Bengaluru",2018,GT World Mall
2017 Renault Kwid RXL,256999.99999999997,Petrol,Manual,58144,Dec 2017,1,Nexus Whitefield,2017,Nexus Whitefield
2016 Renault Kwid RXT 1.0,274000.0,Petrol,Manual,33027,Nov 2016,1,Gandhi Nagar,2016,Gandhi Nagar
2017 Renault Kwid RXT 0.8,291000.0,Petrol,Manual,34793,Aug 2017,1,"GT World Mall, Bengaluru",2017,GT World Mall
2017 Renault Kwid RXT 1.0 (O),293000.0,Petrol,Manual,118690,Mar 2017,1,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2017,Hosur Road
2017 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,590000.0,Diesel,Automatic,88763,May 2017,2,"Bellahalli, Bengaluru",2017,Bellahalli
2023 Renault TRIBER RXL MT,585000.0,Petrol,Manual,35525,Dec 2023,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2023,Whitefield Main Road
2022 Renault Kwid CLIMBER AMT 1.0,432000.0,Petrol,Automatic,29608,Dec 2022,2,Gandhi Nagar,2022,Gandhi Nagar
2022 Renault Kwid CLIMBER MT 1.0,479000.0,Petrol,Manual,9462,May 2022,1,"Vaishnavi Sapphire Centre, Yeswanthpur",2022,Vaishnavi Sapphire Centre
2018 Renault Kwid CLIMBER 1.0 AMT,369000.0,Petrol,Automatic,67698,Aug 2018,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2018,Whitefield Main Road
2020 Renault Duster RXZ 1.3 TURBO PETROL MT,760000.0,Petrol,Manual,47879,Jun 2020,2,"Bellahalli, Bengaluru",2020,Bellahalli
2023 Renault Kwid RXT 1.0 AMT,522000.0,Petrol,Automatic,14561,Jun 2023,1,Gandhi Nagar,2023,Gandhi Nagar
2017 Renault Kwid RXT 1.0,300000.0,Petrol,Manual,55114,Jun 2017,1,"Vaishnavi Sapphire Centre, Yeswanthpur",2017,Vaishnavi Sapphire Centre
2016 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,679000.0,Diesel,Automatic,32040,Aug 2016,1,Nexus Whitefield,2016,Nexus Whitefield
2016 Renault Kwid RXT 1.0,286000.0,Petrol,Manual,36787,Sep 2016,1,Nexus Whitefield,2016,Nexus Whitefield
2018 Renault Kwid CLIMBER 1.0 AMT,342000.0,Petrol,Automatic,55646,Jul 2018,1,Nexus Whitefield,2018,Nexus Whitefield
2019 Renault Kwid RXT 0.8 (O),335000.0,Petrol,Manual,55158,Feb 2019,1,"Bellahalli, Bengaluru",2019,Bellahalli
2017 Renault Kwid RXL,278000.0,Petrol,Manual,39846,Mar 2017,1,"GT World Mall, Bengaluru",2017,GT World Mall
2018 Renault Kwid RXT 1.0,320000.0,Petrol,Manual,49561,Apr 2018,1,Nexus Whitefield,2018,Nexus Whitefield
2021 Renault Kwid RXT 1.0 (O),361000.0,Petrol,Manual,54216,Jun 2021,1,"Vaishnavi Sapphire Centre, Yeswanthpur",2021,Vaishnavi Sapphire Centre
2022 Renault Kwid RXT 1.0 AMT,453000.0,Petrol,Automatic,11633,Mar 2022,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2022,Whitefield Main Road
2023 Renault Kwid RXT 1.0,421000.0,Petrol,Manual,17735,Apr 2023,1,"GT World Mall, Bengaluru",2023,GT World Mall
2018 Renault Kwid RXT 1.0 AMT (O),386000.0,Petrol,Automatic,30323,Jul 2018,1,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2018,Hosur Road
2023 Renault TRIBER RXZ,708000.0,Petrol,Manual,18621,Mar 2023,1,"GT World Mall, Bengaluru",2023,GT World Mall
2022 Renault Kiger RXZ AMT DUAL TONE,656000.0,Petrol,Automatic,34154,Oct 2022,1,"Bellahalli, Bengaluru",2022,Bellahalli
2014 Renault Duster 85 PS RXL DIESEL (OPT),483000.0,Diesel,Manual,80636,Mar 2014,2,Nexus Whitefield,2014,Nexus Whitefield
2024 Renault Kwid RXT 1.0 AMT,525000.0,Petrol,Automatic,12216,Apr 2024,1,"Bellahalli, Bengaluru",2024,Bellahalli
2021 Renault Kwid RXL,372000.0,Petrol,Manual,28327,Aug 2021,1,"GT World Mall, Bengaluru",2021,GT World Mall
2022 Renault TRIBER RXZ AMT,619000.0,Petrol,Automatic,53012,Feb 2022,1,"Bellahalli, Bengaluru",2022,Bellahalli
2022 Renault Kwid CLIMBER AMT 1.0,447000.0,Petrol,Automatic,46292,Jan 2022,1,"Bellahalli, Bengaluru",2022,Bellahalli
2019 Renault Duster 85 PS RXZ DIESEL,767000.0,Diesel,Manual,94521,Feb 2019,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2019,Whitefield Main Road
2020 Renault Duster RXZ 1.5 PETROL MT,681000.0,Petrol,Manual,63077,Aug 2020,1,"Bellahalli, Bengaluru",2020,Bellahalli
2022 Renault Kwid CLIMBER MT 1.0,458000.0,Petrol,Manual,32565,Apr 2022,1,Gandhi Nagar,2022,Gandhi Nagar
2021 Renault Kiger RXZ TURBO MT DUAL TONE,685000.0,Petrol,Manual,36790,Jun 2021,1,Gandhi Nagar,2021,Gandhi Nagar
2024 Renault Kiger RXZ TURBO CVT,893000.0,Petrol,Automatic,11862,Jul 2024,1,"Bellahalli, Bengaluru",2024,Bellahalli
2017 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,652000.0,Diesel,Automatic,94612,Jul 2017,1,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",2017,Whitefield Main Road
2018 Renault Captur RXT PETROL,552000.0,Petrol,Manual,65688,Jan 2018,1,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",2018,Hosur Road
2018 Renault Duster 110 PS RXZ DIESEL,702000.0,Diesel,Manual,82474,Jan 2018,1,"Vaishnavi Sapphire Centre, Yeswanthpur",2018,Vaishnavi Sapphire Centre
2019 Renault Kwid RXT 0.8 (O),293000.0,Petrol,Manual,106473,Jun 2019,2,Electronic City Bengaluru Karnataka,2019,Electronic City Bengaluru Karnataka
2014 Renault Duster RXL PETROL,475000.0,Petrol,Manual,68069,Feb 2014,1,Frazer Town Bengaluru Karnataka,2014,Frazer Town Bengaluru Karnataka
2015 Renault Duster 110 PS RXL DIESEL,266000.0,Diesel,Manual,100000,Nov 2015,2,Bommanahalli Bengaluru Karnataka,2015,Bommanahalli Bengaluru Karnataka
2019 Renault Duster 85 PS RXS MT DIESEL,850000.0,Diesel,Manual,42395,Apr 2019,2,Kodigehalli Bengaluru Karnataka,2019,Kodigehalli Bengaluru Karnataka
2016 Renault Kwid RXT 1.0,213000.0,Petrol,Manual,65926,Jul 2016,1,White Field Bengaluru Karnataka,2016,White Field Bengaluru Karnataka
2016 Renault Kwid RXT 0.8 (O),210000.0,Petrol,Manual,126273,Aug 2016,1,Whitefield Bengaluru Karnataka,2016,Whitefield Bengaluru Karnataka
2019 Renault Kwid RXT 0.8 (O),200000.0,Petrol,Manual,81127,Feb 2019,1,Shriram WYTField Bendiganahalli Karnataka,2019,Shriram WYTField Bendiganahalli Karnataka
2016 Renault Kwid RXT 0.8,279000.0,Petrol,Manual,49085,Apr 2016,3,Jakkur Bengaluru Karnataka,2016,Jakkur Bengaluru Karnataka
2017 Renault Kwid RXT 1.0,345000.0,Petrol,Manual,74246,Nov 2017,1,Banashankari Bengaluru Karnataka,2017,Banashankari Bengaluru Karnataka
2016 Renault Kwid RXT 0.8,194000.0,Petrol,Manual,76986,May 2016,4,Yeswanthpur Bengaluru,2016,Yeswanthpur Bengaluru
2017 Renault Kwid RXL 1.0 AMT,360000.0,Petrol,Automatic,63923,Apr 2017,2,Panduranga Nagar Bengaluru Karnataka,2017,Panduranga Nagar Bengaluru Karnataka
2018 Renault Kwid CLIMBER 1.0,320000.0,Petrol,Manual,46272,Jan 2018,1,Bengaluru Bellahalli Karnataka,2018,Bengaluru Bellahalli Karnataka
2019 Renault TRIBER RXZ,409999.99999999994,Petrol,Manual,59640,Nov 2019,2,Dodda Banaswadi Bengaluru Karnataka,2019,Dodda Banaswadi Bengaluru Karnataka
2016 Renault Kwid RXT 0.8,260000.0,Petrol,Manual,75441,Feb 2016,1,Kadubeesanahalli Bengaluru Karnataka,2016,Kadubeesanahalli Bengaluru Karnataka
2018 Renault Kwid CLIMBER 1.0 AMT,400000.0,Petrol,Automatic,30099,May 2018,2,Nehru Nagar Bengaluru Karnataka,2018,Nehru Nagar Bengaluru Karnataka
2020 Renault TRIBER RXE MT,463999.99999999994,Petrol,Manual,90173,Nov 2020,1,Aavalahalli Bengaluru,2020,Aavalahalli Bengaluru
2013 Renault Scala RXL DIESEL,158000.0,Diesel,Manual,126606,Jan 2013,2,Hegganahalli Bengaluru Karnataka,2013,Hegganahalli Bengaluru Karnataka
2017 Renault Kwid RXT 1.0 AMT,350000.0,Petrol,Automatic,38041,Feb 2017,2,Whitefield Bengaluru Karnataka,2017,Whitefield Bengaluru Karnataka
2022 Renault Kiger RXT MT,556000.0,Petrol,Manual,54557,Jul 2022,1,Peenya Bengaluru Karnataka,2022,Peenya Bengaluru Karnataka
2015 Renault Kwid RXT 0.8,267000.0,Petrol,Manual,100456,Sep 2015,2,J. P. Nagar Bengaluru,2015,J. P. Nagar Bengaluru
